DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
ICA,ICA,110108,1,Sin contrato,Piso de cemento,Materiales tradicionales o semi-informales,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,106.51452255249,0.0,0.0,36.0,840.0,1,65,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,218.960614204407,0.0,0.0,0.0,5160.0,4,61,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,340.236346244812,0.0,0.0,60.0,2308.0,3,34,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,277.137680530548,0.0,0.0,66.0,2600.0,4,66,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,465.07212638855,0.0,0.0,68.0,3168.0,4,63,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,341.853060245514,0.0,0.0,68.0,3160.0,4,67,Sí,No
ICA,NAZCA,110304,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,299.118589878082,0.0,0.0,62.0,2760.0,3,44,Sí,No
JUNIN,HUANCAYO,120107,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,0.0,0.0,0.0,48.0,2020.0,2,51,Sí,No
JUNIN,HUANCAYO,120107,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,90.6508021354675,0.0,0.0,74.0,2800.0,4,42,Sí,No
JUNIN,SATIPO,120607,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,5.09053564071655,1182.0,0.0,28.0,560.0,1,55,Sí,No
